AsOfDate,SecurityId,Description,Sector,Subsector,Currency
2025-01-19,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-19,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-19,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-19,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-19,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-19,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-19,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-19,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-19,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-19,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-19,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-19,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-19,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-19,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-19,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-19,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-19,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-19,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-19,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-19,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-19,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-19,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-19,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-19,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-19,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-19,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-19,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-19,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-19,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CRE,USD
2025-01-19,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-19,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-19,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-19,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-19,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-19,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-20,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-20,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-20,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-20,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-20,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-20,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-20,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-20,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-20,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-20,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-20,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-20,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-20,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-20,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-20,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-20,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-20,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-20,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-20,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-20,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-20,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-20,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-20,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-20,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-20,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-20,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-20,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-20,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-20,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-20,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-20,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-20,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-20,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-20,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-20,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-20,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-20,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-20,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-20,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-20,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-20,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-20,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-20,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-20,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CRE,USD
2025-01-20,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-20,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-20,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-20,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-20,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-20,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-21,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-21,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-21,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-21,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-21,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-21,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-21,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-21,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-21,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-21,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-21,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-21,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-21,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-21,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-21,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-21,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-21,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-21,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-21,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-21,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-21,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-21,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-21,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-21,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-21,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-21,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-21,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-21,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-21,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-21,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-21,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-21,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-21,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-21,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-21,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-21,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-21,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-21,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-21,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-21,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-21,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-21,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-21,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-21,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CRE,USD
2025-01-21,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-21,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-21,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-21,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-21,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-21,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-22,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-22,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-22,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-22,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-22,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-22,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-22,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-22,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-22,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-22,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-22,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-22,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-22,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-22,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-22,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-22,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-22,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-22,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-22,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-22,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-22,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-22,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-22,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-22,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-22,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-22,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-22,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-22,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-22,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-22,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-22,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-22,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-22,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-22,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-22,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-22,HGH26BI,Office CRE Investment HGH26BI,Commercial,CMBS,USD
2025-01-22,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-22,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-22,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-22,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-22,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-22,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-22,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-22,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CRE,USD
2025-01-22,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-22,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-22,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-22,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-22,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-22,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-23,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-23,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-23,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-23,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-23,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-23,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-23,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-23,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-23,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-23,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-23,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-23,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-23,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-23,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-23,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-23,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-23,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-23,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-23,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-23,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-23,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-23,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-23,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-23,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-23,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-23,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-23,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-23,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-23,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-23,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-23,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-23,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-23,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-23,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-23,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-23,HGH26BI,Office CRE Investment HGH26BI,Commercial,CMBS,USD
2025-01-23,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-23,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-23,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-23,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-23,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-23,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-23,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-23,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CRE,USD
2025-01-23,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-23,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CRE,USD
2025-01-23,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-23,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-23,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-23,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-24,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-24,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-24,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-24,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-24,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-24,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-24,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-24,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-24,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-24,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-24,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-24,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-24,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-24,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-24,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-24,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-24,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-24,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-24,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-24,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-24,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-24,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-24,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-24,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-24,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-24,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-24,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-24,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-24,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-24,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-24,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-24,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-24,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-24,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-24,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-24,HGH26BI,Office CRE Investment HGH26BI,Commercial,CMBS,USD
2025-01-24,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-24,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-24,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-24,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-24,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-24,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-24,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-24,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CMBS,USD
2025-01-24,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-24,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CRE,USD
2025-01-24,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-24,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-24,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-24,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-25,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-25,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-25,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-25,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-25,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-25,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-25,CFN12WD,Government Subs Security CFN12WD,Agency,IO,USD
2025-01-25,JQL24TF,Office CMBS Property JQL24TF,Commercial,CRE,USD
2025-01-25,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-25,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-25,SMS96VL,Residential Risk Trust SMS96VL,Residential,Carry,USD
2025-01-25,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-25,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-25,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Risk,USD
2025-01-25,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-25,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-25,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-25,UGH42CD,Retail CMBS Property UGH42CD,Commercial,SASB,USD
2025-01-25,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-25,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-25,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-25,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CRE,USD
2025-01-25,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-25,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-25,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-25,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-25,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-25,RND86XU,Commercial SASB Property RND86XU,Commercial,SASB,USD
2025-01-25,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-25,HZI97XK,Home Carry Trust HZI97XK,Residential,Risk,USD
2025-01-25,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-25,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-25,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-25,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-25,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-25,HGH26BI,Office CRE Investment HGH26BI,Commercial,CMBS,USD
2025-01-25,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,SASB,USD
2025-01-25,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-25,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-25,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-25,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-25,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-25,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-25,GTR84BF,Retail SASB Trust GTR84BF,Commercial,CMBS,USD
2025-01-25,BMV57TF,Government Subs Backed BMV57TF,Agency,IO,USD
2025-01-25,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CRE,USD
2025-01-25,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Risk,USD
2025-01-25,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
